 ,Tribes ID,# avis Glassdoor,Note Glassdoor,Classements,Secteur,Business,Business Model,Cible,Fonds,Dernière levée (M€),Linkedin,Création,# employés,# d'employés,Domaine,Website,WTTJ,Mail type,Revenus,Croissance /an,Certification RH
CerbAir,02OCiHl,-,n.a.,-,Cybersécurité,Solutions Anti-Drone - Contrôlez votre espace aérien‎,Service,B2B,"Boundary Holding, Aubé Management","5,5",https://www.linkedin.com/company/10063700,2015,11-50,34,cerbair.com,https://www.cerbair.com/,,,-,n.a.,-
Sarus,02Tv8N8,-,n.a.,-,Data,We develop tools providing Privacy-by-design Artificial Intelligence and analytics,Autres,B2B,"Serena Capital, XAnge","2,0",https://www.linkedin.com/company/sarus-technologies/,2019,2-10,12,sarus.tech,https://sarus.tech/,,,-,n.a.,-
Sirfull Technology,02P0neY,-,n.a.,-,Data,Vos équipements au coeur de notre développement,Autres,B2B,"Wille Finance AG, Demeter, SCR Alsace Création","2,0",https://www.linkedin.com/company/sirfull/,2011,11-50,13,sirfull.com,https://www.sirfull.com/,,,-,n.a.,-
Forest,02EK89smC,-,n.a.,Efounders,Data,Forest Admin provides an off-the-shelf admin panel based on a highly-extensible API hosted on your servers.,SaaS,B2B,-,,https://www.linkedin.com/company/forestadmin/,2017,11-50,17,forestadmin.com,https://www.forestadmin.com/,,,-,n.a.,-
Gorgias,02SEPYjP5,11,"4,7",-,Data,"The #1 eCommerce help desk for 5,000+ online retailers. eDesk brings all marketplaces and channels together on one dashboard.",SaaS,B2B,-,,https://www.linkedin.com/company/6402068,2015,2-10,18,gorgias.com,https://www.gorgias.com/,,,-,n.a.,-
Saagie,01syTm3lB,4,"4,6",FT 120,Data,Saagie est une solution de DataOps clé en main qui orchestre le meilleur des technologies big data et accélère la mise en oeuvre de projets analytiques.,SaaS,B2B,-,,https://www.linkedin.com/company/3231705,2013,11-50,18,saagie.com,http://www.saagie.com,,,-,n.a.,-
Tracktor,01yChuW,-,n.a.,-,Data,"Spécialiste de la location de matériel BTP, industrie et événementiel en France.",Service,B2B,"Kerala Ventures, BTP Capital Investissement","3,0",https://www.linkedin.com/company/10589136,2016,11-50,23,tracktor.fr,https://www.tracktor.fr,,,-,n.a.,-
Vulkam,01wa3Y0,-,n.a.,-,Data,"Des métaux uniques, sur mesure, aux propriétés extrêmes et des procédés innovants : ce sont les Vulkalloys®, les métaux amorphes de Vulkam.",Autres,B2B,"Supernova Invest, Sofimac Innovation, BNP Paribas Développement, Crédit Agricole Sud Rhône Alpes Capital","3,5",https://www.linkedin.com/company/vulkam/,2017,11-50,25,vulkam.com,https://www.vulkam.com/,,,-,n.a.,-
Tesalys,01yChtP,-,n.a.,-,Data,Solutions de pointe pour le traitement des déchets à risque infectieux.,Autres,B2B,"iXO Private Equity, Sigma Gestion","6,0",https://www.linkedin.com/company/tesalys/,2012,11-50,38,tesalys.fr,https://www.tesalys.fr/,,,-,n.a.,-
WeMaintain,02MZUII,4,5,-,Data,Ascensoriste de confiance‎,Service,B2B,"Idinvest Partners, RAISE Ventures, Spice Capital","7,0",https://www.linkedin.com/company/26360686,2017,11-50,43,wemaintain.com,http://www.wemaintain.com,,"pnom@wemaintain.io, prénom@wemaintain.com",-,n.a.,-
Ask Mona,02SCyctE0,-,n.a.,-,Data,L'intelligence artificielle au service de la Culture,Produit,B2B,-,,https://www.linkedin.com/company/ask-mona/,2017,11-50,-,askmona.fr,https://askmona.fr/,,,-,n.a.,-
Gatling,02MZUIIg1,4,5,-,Data,Open-Source Load Testing,Service,B2B,-,,https://www.linkedin.com/company/5113837,2015,11-50,-,gatling.io,http://gatling.io,https://www.welcometothejungle.com/en/companies/gatling-corp,pnom@gatling.io,-,n.a.,-
Vivoka,01yChr7,-,n.a.,-,Deeptech,Intégrez la reconnaissance vocale dans vos métiers,Autres,B2B,-,"2,0",https://www.linkedin.com/company/vivoka/,2015,11-50,14,vivoka.com,https://vivoka.com/,,,-,n.a.,-
CleverConnect,02N7209PL,17,"4,9",-,RH,Pour une expérience recrutement remarquable,SaaS,B2B,"Sofiouest, Citizen Capital","5,5",https://www.linkedin.com/company/660883,2007,11-50,,cleverconnect.com,http://www.cleverconnect.com/,,prénom.nom@cleverconnect.com,-,n.a.,-
Click & Boat,02OD7c2kC,27,"4,2",-,Marketing,N°1 Location Bateau - Particuliers & Professionnels‎,Marketplace,B2C,-,,https://www.linkedin.com/company/5109175,2014,11-50,-,clickandboat.com,https://www.clickandboat.com,,prénom@clickandboat.com,-,n.a.,-
Mindee,026B0Ax,1,5,-,Deeptech,APIs transforming images to usable text data,SaaS,B2B,"Serena Capital, bpifrance","2,0",https://www.linkedin.com/company/18575144,2018,11-50,19,mindee.co,https://mindee.co,,,-,n.a.,-
Deepomatic,02QcjQU,-,n.a.,-,Deeptech,Logiciel de Reconnaissance d'Image et Vidéo,SaaS,B2B,"Hi Inov Dentressangle, Alven","4,5",https://www.linkedin.com/company/9308646,2014,2-10,20,deepomatic.com,http://www.deepomatic.com,,,-,n.a.,-
Opuscope,02N5bHl,-,n.a.,-,Deeptech,Pionnière dans le marché naissant de la réalité virtuelle et mixte,Autres,B2C,Bièvre Epargne,"3,0",https://www.linkedin.com/company/getminsar/,2016,11-50,21,minsar.app,https://www.minsar.app/#/,,,-,n.a.,-
Colonies,02Q2bswff,-,n.a.,-,Immobilier,"Coliving company. We offer beautifully furnished, easy to book, fully equipped private studios and shared spaces.",Autres,B2C,"Idinvest Partners, Global Founders Capital, Kima, La Financière Saint James","11,0",https://www.linkedin.com/company/11192751,2017,2-10,65,livecolonies.com,https://livecolonies.com/,,,-,n.a.,-
Comet,02OD79t1F,-,n.a.,-,RH,Les meilleurs freelances IT disponibles dès maintenant,Marketplace,B2B,-,,https://www.linkedin.com/company/10999780,2016,51-200,-,comet-meetings.com,http://www.comet-meetings.com,,,-,n.a.,-
SeqOne,02HTpvm,-,n.a.,-,Deeptech,Provide advanced genomic analysis tools that make it possible to analyse NGS data cost-effectively at scale,Autres,B2B,"Elaia, l’Irdi-Soridec, bpifrance","3,0",https://www.linkedin.com/company/seqone/,2017,11-50,22,seq.one,https://seq.one/,,,-,n.a.,-
Keen Eye,02HTpXx,1,3,-,Deeptech,"Conçoit, développe et commercialise des solutions de machine learning pour la recherche",Autres,B2B,"CM-CIC Innovation, Seventure Partners","6,0",https://www.linkedin.com/company/keen-eye-technologies/,2015,11-50,36,keeneye.ai,https://keeneye.ai/,,,-,n.a.,-
ContentSquare,01yCiOy8I,123,"4,6",Next 40,Marketing,La Solution UX Web et Mobile‎,SaaS,B2B,"Canaad, Highland Europe, Eurazeo, H14","52,0",https://www.linkedin.com/company/2566485,2012,51-200,-,contentsquare.com,https://contentsquare.com/,,"prénom.nom@contentsquare.com, prénom@contentsquare.com",10-25M€,n.a.,-
Convelio,02HTzbI9s,1,5,-,Mobilité,Livraison internationale d'art‎,Service,B2B,"Global Founders Capital, Innoport, Acton Capital","9,0",https://www.linkedin.com/company/convelio/,2017,51-200,50,convelio.com,https://www.convelio.com/,,,-,n.a.,-
Syntony,02N5ag1,-,n.a.,-,Deeptech,Spécialisée dans le développement de solutions de localisation adaptées aux environnements confinés et en sous-sols (récepteurs et simulateurs GNSS),Autres,B2B,"Bpifrance, l'IRDI","6,0",https://www.linkedin.com/company/syntony-gnss/,2015,11-50,38,syntony-gnss.com,https://syntony-gnss.com/,,,-,n.a.,-
Cooptalis,02TunL0cQ,64,"3,5",FT 120,RH,Cooptalis élabore et accompagne les projets de mobilité internationale des expatriés et des entreprises partout dans le monde.,Marketplace,B2C,"Idinvest Partners, Crédit Mutuel Equity, Finorpa, IRD","14,0",https://www.linkedin.com/company/cooptalis/,2012,51-200,77,cooptalis.com,https://www.cooptalis.com/,,,-,n.a.,-
Wiidii,02IZAjz,-,n.a.,-,Deeptech,Rencontre entre le monde de l'intelligence artificielle et celui de l'assistance personnelle,Autres,B2C,-,"6,0",https://www.linkedin.com/company/wiidii/,2014,11-50,38,wiidii.com,https://www.wiidii.com/,,,-,n.a.,-
-,02EK8Bv,,n.a.,-,Deeptech,The industry's first ultra-low-power processor enabling battery-operated AI in IoT applications.,Autres,B2B,-,"7,0",https://www.linkedin.com/company/greenwaves-technologies/,2014,11-50,40,greenwaves-technologies.com,https://greenwaves-technologies.com/,,,-,n.a.,-
Aglaé,02SCzET2b,-,n.a.,-,Deeptech,"L'unique concept de végétal luminescent qui conçoit et réalise des scénographies événementielles poétiques, immersives et expérientielles.",Produit,B2B,-,,https://www.linkedin.com/company/design-aglae/,2016,2-10,-,design-aglae.com,https://www.design-aglae.com/,,,-,n.a.,-
Reuniwatt,02N6wsg09,-,n.a.,FT 120,Deeptech,"Leader de l'observation des nuages et du rayonnement solaire, offre en particulier des solutions de prévision",Autres,B2B,-,,https://www.linkedin.com/company/reuniwatt/,2010,11-50,-,reuniwatt.com,https://reuniwatt.com/,,,-,n.a.,-
Shotgun,02L77pQ,-,n.a.,-,Divertissement,La billetterie des nuits électroniques,Autres,B2C,"Newfund, Venrex","2,0",https://www.linkedin.com/company/shotgun-/,2014,11-50,7,shotgun.live,https://shotgun.live/,,,-,n.a.,-
Critizr,01wa3YAY0,14,"4,7",-,Marketing,"Plateforme de feedback management de référence pour pour gérer l'expérience et la satisfaction client (NPS, CSAT...).",SaaS,B2B,"83North, Point Nine, Caphorn, Runa","15,0",https://www.linkedin.com/company/1623976,2011,11-50,280,business.critizr.com,http://business.critizr.com,,,-,n.a.,-
Crosscall,01vgRiCRp,-,n.a.,FT 120,Iot,Mobiles et Smartphones étanches,Produit,B2C,-,,https://www.linkedin.com/company/crosscall/,2009,51-200,-,crosscall.com,https://crosscall.com/,,,-,n.a.,-
Cubyn,02L76UCxq,15,"4,6",FT 120,Mobilité,Expédiez avec Cubyn - Envois au meilleurs Tarifs‎,Service,B2B,"DN Capital, Partech Ventures, 360 Capital Partners, BNP Paribas Developpement, bpifrance","12,0",https://www.linkedin.com/company/5388411,2014,11-50,67,cubyn.com,http://www.cubyn.com,,,-,n.a.,-
Molotov,02EL6fZxH,13,"2,9",FT 120,Divertissement,L'app pour regarder la télé. Gratuitement,SaaS,B2C,-,,https://www.linkedin.com/company/10007280,2015,11-50,21,molotov.tv,http://www.molotov.tv,,pnom@molotov.tv,-,n.a.,-
Antescofo,01yCiMX,-,n.a.,-,Divertissement,"Appli d'accompagnement musical vous permettant de jouer avec un orchestre, quels que soient votre niveau et votre instrument.",Autres,B2C,"daphni, OneRagTime","4,0",https://www.linkedin.com/company/antescofo/,2016,11-50,25,antescofo.com,https://www.antescofo.com/,,,-,n.a.,-
CybelAngel,01yChmIr9,6,"4,3",FT 120,Data,Data Leak Detection and Threat Intelligence,Autres,B2B,-,,https://www.linkedin.com/company/cybelangel/,2013,51-200,-,cybelangel.com,https://cybelangel.com/,,,-,n.a.,-
NomadPlay,01yCiVj,-,n.a.,-,Divertissement,"NomadPlay révolutionne la pratique de la musique. Jouez en immersion avec des musiciens et orchestres virtuoses, depuis votre salon",Produit,B2C,"Crédit Mutuel Innovation, Banque des territoires","4,2",https://www.linkedin.com/company/5005248,2013,2-10,27,nomadplay.fr,https://nomadplay.fr/,,,-,n.a.,-
Dashlane,01yCi1A,43,"4,7",-,Cybersécurité,Gestionnaire de mots de passe pour particuliers et entreprises,SaaS,B2B,"Sequoia Capital, Rho Ventures, FirstMark Capital, Bessemer Venture Partners","98,6",https://www.linkedin.com/company/2049626,2009,51-200,17,dashlane.com,http://www.dashlane.com,,prénom@dashlane.com,-,n.a.,-
Dataiku,01yChlHQB,147,"4,9",-,Data,Your Path to Enterprise AI,SaaS,B2B,-,,https://www.linkedin.com/company/2770554,2013,51-200,17,dataiku.com,http://Dataiku.com,,prénom.nom@dataiku.com,-,n.a.,-
Groover,02N5bHlvm,-,n.a.,-,Divertissement,Music Promotion With Results,Marketplace,B2C,-,,https://www.linkedin.com/company/9336598,2015,11-50,,growthtribe.io,https://www.growthtribe.io/,,,-,n.a.,-
Loisirs Enchères,02IZAkavS,-,n.a.,FT 120,Divertissement,"Des centaines d'offres de voyages, d'hôtels, de week-end et de sorties aux enchères.",Marketplace,B2C,-,,https://www.linkedin.com/company/9286155,2014,11-50,,loisirsencheres.fr,http://www.loisirsencheres.fr/,,,-,n.a.,-
Kipli,01yCiJz,-,n.a.,-,Ecommerce,Le matelas écologique - Dormez en pleine nature‎,Produit,B2C,Alter Equity,"2,0",https://www.linkedin.com/company/18611545,2018,2-10,10,kipli.com,https://kipli.com/fr,,,-,n.a.,-
Deepki,02BCDff,10,"4,8",-,Immobilier,"Avec Deepki, exploitez les données dont vous disposez déjà pour optimiser la gestion de votre parc immobilier et engager la Transition Énergétique.",SaaS,B2B,"Demeter Ventures, Hi Inov, Statkraft Ventures, Citizen Capital","8,0",https://www.linkedin.com/company/deepki/,2014,51-200,50,deepki.com,https://www.deepki.com/,,,-,n.a.,-
Marketparts.com,026BMMj,-,n.a.,-,Ecommerce,"First global marketplace for automotive professionals dedicated to distributors, manufacturers and pure players.",Marketplace,B2B,,"3,0",https://www.linkedin.com/company/marketparts-com/,2019,11-50,21,marketparts.com/fr,https://www.marketparts.com/fr/,,,-,n.a.,-
Uppler,02Ne2Ioio,-,n.a.,-,Ecommerce,Créez votre marketplace B2B ou plateforme e-procurement avec les fonctionnalités de e-commerce B2B les plus avancées du marché,SaaS,B2B,-,,https://www.linkedin.com/company/uppler/,2014,11-50,22,uppler.com,https://uppler.com/,,,-,n.a.,-
Asphalte,02SCy2bwz,-,n.a.,-,Ecommerce,Des bonnes fringues. Point.,Produit,B2C,-,,https://www.linkedin.com/company/11099590,2016,11-50,-,asphalte-paris.com,http://www.asphalte-paris.com,,,-,n.a.,-
Deezer,02IZAjb,156,"4,1",Next 40,Divertissement,Plateforme française de distribution numérique dédiée à l'écoute de musique en streaming,Service,B2C,-,,https://www.linkedin.com/company/167231,2007,201-500,20,deezerjobs.com,http://www.deezerjobs.com/en/,,,-,n.a.,-
Epicery,01yChtPN8,-,n.a.,-,Ecommerce,Courses en Ligne - Livraison Courses à Domicile en 1h,Service,B2C,-,,https://www.linkedin.com/company/epicery/,2016,11-50,-,epicery.com,https://www.epicery.com/,,,-,n.a.,-
Dental Monitoring,01yChsi1G,-,n.a.,-,Med / Biotech,Dental Monitoring a une mission : concevoir des solutions capables de maximiser les traitements de vos patients.,SaaS,B2B,Vitruvian Partners,"45,0",https://www.linkedin.com/company/9475867,2013,11-50,-,dental-monitoring.com,https://dental-monitoring.com/,,,-,n.a.,-
HelloZack,02HTpXxBv,9,"4,9",-,Ecommerce,Revendons ensemble votre produit au meilleur prix,Marketplace,B2C,-,,https://www.linkedin.com/company/hellozackfr/,2016,11-50,-,hellozack.fr,https://hellozack.fr/,,,-,n.a.,-
Deskeo,01yCi1AtP,-,n.a.,-,Immobilier,Location de bureaux flexibles avec services,Service,B2B,-,,https://www.linkedin.com/company/15143123,2016,51-200,-,deskeo.fr,https://www.deskeo.fr,,prénom@deskeo.fr,-,n.a.,-
Devialet,02Q2LLzaU,18,"3,8",Next 40,Iot,Devialet est la startup la plus primée au monde pour l'excellence de ses innovations dans le son.,Produit,B2C,"Korelya Capital, Ginko Ventures","16,0",https://www.linkedin.com/company/devialet/,2007,51-200,90,devialet.com,https://www.devialet.com/,,,-,n.a.,-
Diabeloop,02Q2Y6LAX,-,n.a.,FT 120,Med / Biotech,Diabeloop automatise et personnalise le traitement du diabète ...,Produit,B2C,"Kreaxi, Sofimac Innovation, Odyssee Venture, Supernova Invest, Cemag Invest","31,0",https://www.linkedin.com/company/diabeloop/,2015,51-200,151,diabeloop.fr,http://www.diabeloop.fr,,,-,n.a.,-
HomeExchange,01yChqz,11,"3,9",Next 40,Ecommerce,Echange de Maison en France‎,Marketplace,B2C,-,,https://www.linkedin.com/company/882690,1992,11-50,-,homeexchange.com,http://www.HomeExchange.com,,prénom@homeexchange.com,-,n.a.,-
Le Slip Français,02EK8BfrF,2,5,FT 120,Ecommerce,Vêtements et Sous-Vêtements‎,Produit,B2C,-,,https://www.linkedin.com/company/3042389,2011,11-50,-,leslipfrancais.fr,https://www.leslipfrancais.fr,,"prénom.nom@leslipfrancais.fr, prénom@leslipfrancais.fr",-,n.a.,-
Respire,01mq76D8N,-,n.a.,-,Ecommerce,Déodorants Naturels‎,Produit,B2C,-,,https://www.linkedin.com/company/18896527,2018,11-50,-,respire.co,http://www.respire.co,,prénom@respire.co,-,n.a.,-
Digital Insure,01m4ROQnj,-,n.a.,FT 120,Fintech,"Expert en assurance emprunteur et en prévoyance au service du développement des courtiers, des compagnies d'assurance, des mutuelles et des banques.",Service,B2B,-,,https://www.linkedin.com/company/25584102,2013,51-200,-,digital-insure.fr,http://www.digital-insure.fr,,,-,n.a.,-
Diota,01yCiUv,-,n.a.,-,Data,Diota fournit aux industriels des solutions d'optimisation des processus par la digitalisation. Ces solutions Industrie 4.0 exploitent le Digital sur le terrain,Autres,B2B,"CM-CIC, Safran Corporate Ventures, Supernova Invest, Calao Finance, Bpifrance","7,0",https://www.linkedin.com/company/diotasoft/,2009,51-200,40,diota.com,https://diota.com/,,,-,n.a.,-
DNA Script,02Q2YAX17,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"LSP, Bpifrance, Illumina Ventures, M Ventures, Sofinnova Partners, Kurma Partners, Idinvest Partners","35,0",https://fr.linkedin.com/company/dna-script,2014,51-200,178,dnascript.com,https://www.dnascript.com/,,,-,n.a.,-
Doctolib,02Ne2xnIo,83,4,Next 40,Marketing,Prise de rendez-vous en ligne – Applications sur ...,SaaS,B2B,General Atlantics,"150,0",https://www.linkedin.com/company/4999584,2013,201-500,21,doctolib.fr,http://www.doctolib.fr,,prénom.nom@doctolib.fr,-,n.a.,-
Doctrine,01yChrQlv,54,"4,9",Top Linkedin,Legaltech,Moteur de Recherche Juridique,SaaS,B2B,-,,https://www.linkedin.com/company/10511637,2016,11-50,70,doctrine.fr,http://www.doctrine.fr/,,prénom@doctrine.fr,-,n.a.,-
Dolead,01yCi1BuW,14,"4,5",-,Marketing,Performance Marketing - Générez des Leads de Qualité‎‎,SaaS,B2B,"Xange, Ring Capital","15,0",https://www.linkedin.com/company/3048007,2007,51-200,620,dolead.com,http://www.dolead.com,,prénom.nom@dolead.com,-,n.a.,-
Dolmen,01yCi1BQB,20,2,-,Marketing,Marketing client local et digital,SaaS,B2B,"Mediapost, Salesforce Ventures","9,0",https://www.linkedin.com/company/dolmentech/,2011,51-200,245,dolmen-tech.com,https://www.dolmen-tech.com/,,,-,n.a.,-
DreamQuark,02L7XGu,-,n.a.,-,Deeptech,Banks and Insurance companies deploy at scale DreamQuark Explainable AI to increase their revenues.,Autres,B2B,"Alma Mundi, AG2R La Mondiale, NewAlpha Asset Management, Keen Venture Partners, CapHorn","14,0",https://www.linkedin.com/company/dreamquark/,2014,11-50,78,dreamquark.com,https://www.dreamquark.com/,,,-,n.a.,-
Dreem,02TunY8VS,16,"4,9",FT 120,Med / Biotech,Solution pour Mieux Dormir‎,Produit,B2C,-,,https://www.linkedin.com/company/5272965,2014,51-200,,dreem.com,http://dreem.com/,,prénom@dreem.com,-,n.a.,-
Dreem (ex Rythm),02IZAjl0j,-,n.a.,-,Deeptech,"Solution pour Mieux Dormir‎
Annonce",Produit,B2C,-,,https://www.linkedin.com/company/dreem/,2014,51-200,-,dreem.com,https://dreem.com/,,,-,n.a.,-
Selency,02N6Bc9OT,2,5,-,Ecommerce,Site de brocante en ligne où vendre et chiner.,Marketplace,B2C,-,,https://www.linkedin.com/company/9436747,2014,2-10,,selency.com,http://selency.com,,prénom@selency.com,-,n.a.,-
Dynacure,01yCib1Lh,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"Perceptive Advisors, Tekla Capital Management, Large Venture (Bpifrance), Andera Partners, Bpifrance, IdInvest, Kurma Partners et Pontifax","50,0",https://www.linkedin.com/company/dynacure/,2016,11-50,420,dynacure.com,https://www.dynacure.com/,,,-,n.a.,-
EvidenceB,02L79bM,-,n.a.,-,Edtech,EvidenceB propose aux élèves et à leurs enseignants des modules d'activités sur les apprentissages fondamentaux,Service,B2B,"Finorpa, IRD-Gestion, Nord France Amorçage, Lita.co","2,0",https://www.linkedin.com/company/11864867,2017,11-50,8,evidenceb.com,http://www.evidenceB.com,,,-,n.a.,-
Marbotic,01yCiKQ,-,n.a.,-,Edtech,"As tech lovers and education experts, we created with Marbotic a learning experience mixing traditional wooden toys and touchscreen technology.",Service,B2C,Turenne Capital,"2,0",https://www.linkedin.com/company/5364120,2012,2-10,10,marbotic.com,http://www.marbotic.com,,,-,n.a.,-
EasyMovie,01yChtPuW,-,n.a.,-,Marketing,The Structured Video Storytelling Platform,SaaS,B2B,Ring Capital,"5,0",https://www.linkedin.com/company/my-easy-movie/,2013,51-200,150,easy.movie,https://www.easy.movie/,,,-,n.a.,-
Easyrecrue,01yChwQtr,22,"4,2",Top Linkedin,RH,"Notre Talent Experience Platform optimise le parcours de vos talents, de leur recrutement à leur évolution dans l'entreprise.",SaaS,B2B,-,,https://www.linkedin.com/company/3035410,2013,11-50,,easyrecrue.com,http://www.easyrecrue.com,,,-,n.a.,-
Medusims,01yChjp,-,n.a.,-,Edtech,Outils numériques d'entraînement médical,Autres,B2B,"Tekmarket, business angel","2,0",https://www.linkedin.com/company/medusims/,2012,11-50,11,medusims.com,https://www.medusims.com/,,,-,n.a.,-
Lalilo,01yChoJ,-,n.a.,-,Edtech,Solution d'apprentissage de la lecture à distance,Autres,B2C,"Partech, EduCapital, Citizen Capital","2,5",https://www.linkedin.com/company/lalilo/,2016,11-50,18,lalilo.com,https://lalilo.com/,,,-,n.a.,-
EcoVadis,02EK8AZcU,55,"4,4",FT 120,Autres,Plateforme d'évaluation des performances RSE et achats responsables.,SaaS,B2B,-,,https://www.linkedin.com/company/250378,2007,201-500,23,ecovadis.com,http://www.ecovadis.com,,,-,n.a.,-
SchoolMouv,01yChpc,-,n.a.,-,Edtech,Cours en ligne pour le collège et le lycée,Autres,B2C,"M Capital, Matmut Innovation, Swen Capital Partners","2,5",https://www.linkedin.com/company/schoolmouv/,2013,11-50,19,schoolmouv.fr,https://www.schoolmouv.fr/,,,-,n.a.,-
ekWateur,02L7YES,-,n.a.,FT 120,Greentech,l'énergie verte - Sans engagement & sans coupure‎,Service,B2B,"Aster, BNP Paribas Développement, Bouygues Telecom Initiatives, Mantu","9,5",https://www.linkedin.com/company/joul-&-cie/,2016,11-50,50,ekwateur.fr,https://ekwateur.fr/,,,-,n.a.,-
Simundia,01yCiOnka,-,n.a.,-,Edtech,"Du coaching à grande échelle pour booster la performance, l'engagement et l'épanouissement de vos collaborateurs.",SaaS,B2B,"Kima Ventures, FJ Labs","2,0",https://www.linkedin.com/company/11048107,2016,11-50,23,simundia.com,http://www.simundia.com,,,-,n.a.,-
EldoTravo,02SCz07,-,n.a.,-,Autres,Avis sur les artisans près de chez vous,Marketplace,B2B,"Irdi Soridec Gestion, M Capital","3,0",https://www.linkedin.com/company/11129819,2016,51-200,20,eldotravo.fr,https://www.eldotravo.fr,,prénom@eldotravo.fr,-,n.a.,-
Teach on Mars,01mq76D,-,n.a.,-,Edtech,Learning Experience Platform - Mobile et Contextuelle - bealink.io‎,SaaS,B2B,"Omnes, Région Sud Investissement","7,0",https://www.linkedin.com/company/3300206,2012,11-50,24,teachonmars.com,http://www.teachonmars.com,,prénom.nom@teachonmars.com,-,n.a.,-
LiveMentor,02L7BXBpg,8,"4,1",-,Edtech,Tout le monde peut vivre de son projet. Classée meilleure formation pour entrepreneurs en France,Service,B2C,-,,https://www.linkedin.com/company/3326265,2012,2-10,-,livementor.com,http://www.livementor.com,,prénom@livementor.com,-,n.a.,-
Wild Code School,02Ne3iozp,-,n.a.,-,Edtech,Formation aux métiers numériques,Service,B2C,-,,https://www.linkedin.com/company/10387519,2014,11-50,,wildcodeschool.com,https://wildcodeschool.com/,,,-,n.a.,-
PowerUp,02N6Bc9,-,n.a.,-,Energie,"Innovative solution in monitoring, maintenance and protection of your batteries!",Autres,B2B,Supernova Invest,"2,0",https://www.linkedin.com/company/powerup-technology/,2017,11-50,12,powerup.xyz,https://www.powerup.xyz/,,,-,n.a.,-
Enterome,01yCiUv8q,-,n.a.,-,Med / Biotech,Société de biotechnologie,Autres,B2C,-,,https://www.linkedin.com/company/enterome/,2011,51-200,,enterome.com,https://www.enterome.com/,,,-,n.a.,-
Wattalps,02IZAjl,-,n.a.,-,Energie,Développé des batteries modulaires haute performance.,Produit,B2B,"Eximium, KIC InnoEnergy SE","2,2",https://www.linkedin.com/company/wattalps/,2018,11-50,16,wattalps.com,https://www.wattalps.com/?lang=fr,,,-,n.a.,-
ePack Hygiene,01yChr9TL,-,n.a.,FT 120,Autres,"Une solution tactile innovante pour simplifier votre démarche HACCP et vous permettre, en quelques minutes, de réaliser les enregistrements de votre Plan de Maitrise Sanitaire (PMS)",Produit,B2B,-,,https://www.linkedin.com/company/epack-hygiene/,2012,51-200,-,epack-hygiene.fr,https://www.epack-hygiene.fr/,,,-,n.a.,-
Demand Side Instruments,01yCiM1,-,n.a.,-,Energie,Spécialisée dans les solutions dédiées à la gestion et à la préservation des ressources naturelles,Autres,B2B,Gedia Energies,"3,6",https://www.linkedin.com/company/demand-side-instruments/,2013,11-50,25,dsinstruments.fr,https://dsinstruments.fr/,,,-,n.a.,-
Epsor,02Q2LxK,-,n.a.,-,Fintech,"Epsor, la solution d'épargne salariale et retraite, simple",Service,B2B,"BlackFin Tech, Partech","6,0",https://www.linkedin.com/company/11325402,2017,51-200,35,epsor.fr,http://www.epsor.fr,,,-,n.a.,-
NawaTechnologies,01yCiKV,-,n.a.,-,Energie,Innovations à base de matériaux nanostructurés - Révolution du stockage de l'énergie avec le meilleur des nanotechnologies.,Autres,B2B,"Demeter, Supernova Invest, Région Sud Investissement, Eurowatt, Davaniere Capital Partenaire, InnoEnergy, Kouros, Caap Création, Ecotechnologies","13,3",https://www.linkedin.com/company/nawatechnologies/,2013,11-50,74,awatechnologies.com,http://www.nawatechnologies.com/,,,-,n.a.,-
Ergosup,02N6wYC,-,n.a.,-,Greentech,Electrolyseur Sous Pression,Produit,B2B,"Aliad- Air Liquide , Demeter, GO Capital, Arkéa, Bpifrance, Normandie Participations, Kouros, AP Ventures","11,0",https://www.linkedin.com/company/ergosup/,2012,11-50,60,ergosup.com,https://www.ergosup.com/,,,-,n.a.,-
Descartes Underwriting,02N5I8t,-,n.a.,-,Fintech,"La startup parisienne Descartes Underwriting, spécialisée dans l'assurance contre les catastrophes naturelles",Service,B2B,BlackFin Tech,"2,0",https://www.linkedin.com/company/descartesunderwriting/,2018,11-50,8,descartesunderwriting.com,https://descartesunderwriting.com/,,,-,n.a.,-
Mansa,02Ne3PN,-,n.a.,-,Fintech,Crédit aux indépendants,Service,B2B,Founders Future,"2,0",https://www.linkedin.com/company/18971515,2018,11-50,8,getmansa.com,https://getmansa.com/,,prénom.nom@getmansa.com,-,n.a.,-
Qape,02Ne3io,-,n.a.,-,Fintech,Créateur d'innovations en assurance santé.,Service,B2C,-,"2,0",https://www.linkedin.com/company/qape/,2017,2-10,12,qape.fr,https://qape.fr/,,,-,n.a.,-
Tudigo,02L76XB,-,n.a.,-,Fintech,Financement participatif de l'entrepreneuriat local,Service,B2B,Tudigo,"2,0",https://www.linkedin.com/company/2870075,2012,11-50,14,tudigo.co,https://www.tudigo.co/,,prénom@tudigo.co,-,n.a.,-
Appvizer,02SEZLh,-,n.a.,-,Fintech,Appvizer aide les entreprises à détecter le bon logiciel,Marketplace,B2B,"Irdi Soridec Gestion, Angelsquare","2,5",https://www.linkedin.com/company/appvizer/,2015,11-50,18,appvizer.com,https://www.appvizer.com,,,-,n.a.,-
